INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 269 | TimLog::logInfo | succ to delete older log file: TIM_Firmware_Update.log
INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\config.cpp | 74 | TimLog::logInfo | COM Config Into port: COM7, baudrate: 57600, databits: 8, parity: 0, stopbits: 1
INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\config.cpp | 82 | TimLog::logInfo | ProgramName: ¤
INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 295 | TimLog::logInfo | Program file: update.hex is not exist!
INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 310 | TimLog::logInfo | Program file length is: 85003!
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 56 | TimLog::logInfo | ½«Òª·¢ËÍ 472 ´®³ÌĞò¸üĞÂÊı¾İ
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 302 | TimLog::logInfo | Succ: CreateThread Succ
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 61 | TimLog::logInfo | Succ to Open Serial Port!
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 77 | TimLog::logInfo | µÚ 0 ³ÌĞò¸üĞÂ´Î¿ªÊ¼
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 10 03 35 01 01 36 03 
INFO: 2017-06-21 10:11:12 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 35 01 00 01 31 03 
INFO: 2017-06-21 10:11:18 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 07 36 10 02 01 00 00 00 00 32 03 
INFO: 2017-06-21 10:11:21 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 370 | TimLog::logInfo | Error: Timeout
